Identifiant_de_l_etablissement,Type_etablissement,Statut_public_prive,Type_contrat_prive,Nom_etablissement,Adresse_1,Adresse_2,Adresse_3,Code_postal,Code_commune,Nom_commune,Code_departement,Libelle_departement,Code_academie,Libelle_academie,Code_region,Libelle_region,Ecole_maternelle,Ecole_elementaire,Voie_generale,Voie_technologique,Voie_professionnelle,Telephone,Fax,Web,Mail,Restauration,Hebergement,ULIS,Lycee_des_metiers,Apprentissage,Segpa,Post_BAC,Section_arts,Section_cinema,Section_theatre,Section_sport,Section_internationale,Section_europeenne,Lycee_Agricole,Lycee_militaire,Nombre_d_eleves,GRETA,SIREN_SIRET,Fiche_onisep,Appartenance_Education_Prioritaire,coordX_origine,coordY_origine,epsg_origine,nom_circonscription,latitude,longitude,position,precision_localisation,date_ouverture,date_maj_ligne,etat,ministere_tutelle,multi_uai,rpi_concentre,rpi_disperse,code_nature,libelle_nature
0351776R,Ecole,Public,SANS OBJET,Ecole maternelle publique Pablo Picasso,11 rue Philippe Nordmann ,,35000 RENNES,35000,35238,Rennes,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,1,0,,,,0257213080,,,ecole.0351776R@ac-rennes.fr,1,0,0,,,,,,,,,,,,,108,,21350238801405,,,353524.6,6788775.3,EPSG:2154,Circonscription d'inspection du 1er degré de Rennes Ouest,48.10735286596553,-1.65784443520531,"48.10735286596553,-1.65784443520531",Numéro de rue,1972-06-01,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,,101,ECOLE MATERNELLE
0351806Y,Ecole,Public,SANS OBJET,Ecole élémentaire publique les Omblais,7 rue de la Rabine ,,35830 BETTON,35830,35024,Betton,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,0,1,,,,0299557200,,,ecole.0351806Y@ac-rennes.fr,1,0,0,,,,,,,,,,,,,254,,21350024200093,,,354537.1,6796584.4,EPSG:2154,Circonscription d'inspection du 1er degré de Liffre,48.17803590328403,-1.6504400300922937,"48.17803590328403,-1.6504400300922937",Numéro de rue,1973-06-06,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,,151,ECOLE DE NIVEAU ELEMENTAIRE
0351807Z,Ecole,Public,SANS OBJET,Ecole maternelle publique la Haye Renaud,1 rue DES MARRONNIERS ,,35830 BETTON,35830,35024,Betton,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,1,0,,,,0299558476,,,ecole.0351807Z@ac-rennes.fr,1,0,0,,,,,,,,,,,,,120,,21350024200051,,,355608.7,6796342.4,EPSG:2154,Circonscription d'inspection du 1er degré de Liffre,48.17642879761348,-1.6358568541625493,"48.17642879761348,-1.6358568541625493",Numéro de rue,1973-06-06,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,,101,ECOLE MATERNELLE
0351808A,Ecole,Public,SANS OBJET,Ecole maternelle publique les Omblais,3 rue de la Rabine ,,35830 BETTON,35830,35024,Betton,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,1,0,,,,0299559074,,,ecole.0351808A@ac-rennes.fr,1,0,0,,,,,,,,,,,,,171,,21350024200069,,,354554.5,6796597.7,EPSG:2154,Circonscription d'inspection du 1er degré de Liffre,48.17816458519172,-1.6502168732504312,"48.17816458519172,-1.6502168732504312",Numéro de rue,1973-06-06,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,,101,ECOLE MATERNELLE
0351809B,Ecole,Public,SANS OBJET,Ecole élémentaire publique la Haye Renaud,3 rue des Marronniers ,,35830 BETTON,35830,35024,Betton,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,0,1,,,,0299558475,,,ecole.0351809B@ac-rennes.fr,1,0,0,,,,,,,,,,,,,161,,21350024200044,,,355596.4,6796346.4,EPSG:2154,Circonscription d'inspection du 1er degré de Liffre,48.1764582337047,-1.6360252020906998,"48.1764582337047,-1.6360252020906998",Numéro de rue,1973-06-06,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,,151,ECOLE DE NIVEAU ELEMENTAIRE
0351814G,Ecole,Public,SANS OBJET,Ecole maternelle publique Georges Martinais,7 rue de Rennes ,,35520 LA CHAPELLE DES FOUGERETZ,35520,35059,La Chapelle-des-Fougeretz,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,1,0,,,,0299665414,,,ecole.0351814G@ac-rennes.fr,1,0,0,,,,,,,,,,,,,171,,21350059800049,,,348494.2,6796739.6,EPSG:2154,Circonscription d'inspection du 1er degré de Saint Grégoire,48.17620151264783,-1.7317184951608746,"48.17620151264783,-1.7317184951608746",Numéro de rue,1973-06-06,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,,101,ECOLE MATERNELLE
0351826V,Ecole,Privé,CONTRAT D'ASSOCIATION TOUTES CLASSES,Ecole primaire privée Ste Thérèse,6 rue des Ecoliers ,,35130 MOUTIERS,35130,35200,Moutiers,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,1,1,,,,0299962670,,,ec.0351826V@ac-rennes.fr,1,0,0,,,,,,,,,,,,,102,,30460256800012,,,385860.1,6771400.1,EPSG:2154,Circonscription d'inspection du 1er degré de Châteaubourg,47.96757500045726,-1.2115640481841066,"47.96757500045726,-1.2115640481841066",Numéro de rue,1973-06-06,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,,151,ECOLE DE NIVEAU ELEMENTAIRE
0351829Y,Ecole,Public,SANS OBJET,Ecole élémentaire publique Léon Grimault,22 boulevard Léon Grimault ,,35200 RENNES,35200,35238,Rennes,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,0,1,,,,0257213012,,,ecole.0351829Y@ac-rennes.fr,1,0,0,,,,,,,,,,,,,196,,21350238800423,,,354100.5,6786914.3,EPSG:2154,Circonscription d'inspection du 1er degré de Rennes Sud,48.09094088278953,-1.648649045804905,"48.09094088278953,-1.648649045804905",Numéro de rue,1973-06-06,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,,151,ECOLE DE NIVEAU ELEMENTAIRE
0351830Z,Ecole,Public,SANS OBJET,Ecole maternelle publique Léon Grimault,20 boulevard Léon Grimault ,,35200 RENNES,35200,35238,Rennes,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,1,0,,,,0257213011,,,ecole.0351830Z@ac-rennes.fr,1,0,0,,,,,,,,,,,,,103,,21350238800415,,,354076.0,6786891.7,EPSG:2154,Circonscription d'inspection du 1er degré de Rennes Sud,48.09072489514712,-1.6489596869281902,"48.09072489514712,-1.6489596869281902",Numéro de rue,1973-06-06,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,,101,ECOLE MATERNELLE
0351859F,Ecole,Public,SANS OBJET,Ecole élémentaire publique Beausoleil,2 place Sévigné ,,35510 CESSON SEVIGNE,35510,35051,Cesson-Sévigné,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,0,1,,,,0299832561,,,ecole.0351859F@ac-rennes.fr,1,0,0,,,,,,,,,,,,,322,,21350051500035,,,357137.5,6789535.5,EPSG:2154,Circonscription d'inspection du 1er degré de Cesson-Sévigné,48.116088501230244,-1.6099812156879838,"48.116088501230244,-1.6099812156879838",Numéro de rue,1974-05-21,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,,151,ECOLE DE NIVEAU ELEMENTAIRE
0351891R,Ecole,Public,SANS OBJET,Ecole maternelle publique Bourgchevreuil,16 boulevard des Métairies ,,35510 CESSON SEVIGNE,35510,35051,Cesson-Sévigné,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,1,0,,,,0299831761,,,ecole.0351891R@ac-rennes.fr,1,0,0,,,,,,,,,,,,,159,,21350051500050,,,357961.9,6790361.4,EPSG:2154,Circonscription d'inspection du 1er degré de Cesson-Sévigné,48.12394001062176,-1.5995678902161656,"48.12394001062176,-1.5995678902161656",Numéro de rue,1975-05-14,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,,101,ECOLE MATERNELLE
0351894U,Ecole,Public,SANS OBJET,Ecole élémentaire publique Bourgchevreuil,18 boulevard des Métairies ,,35510 CESSON SEVIGNE,35510,35051,Cesson-Sévigné,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,0,1,,,,0299831839,,,ecole.0351894U@ac-rennes.fr,1,0,0,,,,,,,,,,,,,331,,21350051500068,,,357943.6,6790368.6,EPSG:2154,Circonscription d'inspection du 1er degré de Cesson-Sévigné,48.12399510218297,-1.5998190575266222,"48.12399510218297,-1.5998190575266222",Numéro de rue,1975-05-14,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,,151,ECOLE DE NIVEAU ELEMENTAIRE
0351901B,Ecole,Public,SANS OBJET,Ecole maternelle publique Paul-Emile Victor,12 rue Paul-Emile Victor ,,35760 ST GREGOIRE,35760,35278,Saint-Grégoire,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,1,0,,,,0299688619,,,ecole.0351901B@ac-rennes.fr,1,0,0,,,,,,,,,,,,,152,,21350278400035,,,351331.0,6793930.3,EPSG:2154,Circonscription d'inspection du 1er degré de Saint Grégoire,48.15249021591188,-1.691377583845422,"48.15249021591188,-1.691377583845422",Numéro de rue,1975-05-14,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,,101,ECOLE MATERNELLE
0351928F,Ecole,Public,SANS OBJET,Ecole maternelle publique Marc Sangnier,38 rue Marc Sangnier ,,35000 RENNES,35000,35238,Rennes,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,1,0,,,,0299518020,,,ecole.0351928F@ac-rennes.fr,1,0,0,,,,,,,,,,,,,107,,21350238800845,,,353535.7,6787181.7,EPSG:2154,Circonscription d'inspection du 1er degré de Rennes Sud,48.0930436395113,-1.6564336695522528,"48.0930436395113,-1.6564336695522528",Numéro de rue,1976-07-08,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,,101,ECOLE MATERNELLE
0351981N,Ecole,Public,SANS OBJET,Ecole maternelle publique le Chat Perché,Avenue Abbé Barbedet ,,35690 ACIGNE,35690,35001,Acigné,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,1,0,,,,0299622425,,,ecole.0351981N@ac-rennes.fr,1,0,0,,,,,,,,,,,,,196,,21350001000029,,,362493.5,6791213.1,EPSG:2154,Circonscription d'inspection du 1er degré de Cesson-Sévigné,48.13394948997577,-1.5394218179578312,"48.13394948997577,-1.5394218179578312",Numéro de rue,1977-05-23,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,,101,ECOLE MATERNELLE
0351987V,Ecole,Public,SANS OBJET,Ecole maternelle publique Jules Isaac,9 rue du Morbihan ,,35700 RENNES,35700,35238,Rennes,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,1,0,,,,0299383811,,,ecole.0351987V@ac-rennes.fr,1,0,0,,,,,,,,,,,,,123,,21350238800647,,,352849.1,6791660.2,EPSG:2154,Circonscription d'inspection du 1er degré de Rennes Est,48.13290831996599,-1.6691950508810192,"48.13290831996599,-1.6691950508810192",Numéro de rue,1977-05-23,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,,101,ECOLE MATERNELLE
0351989X,Ecole,Public,SANS OBJET,Ecole élémentaire publique Jules Isaac,9 rue du Morbihan ,,35000 RENNES,35000,35238,Rennes,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,0,1,,,,0299630806,,,ecole.0351989X@ac-rennes.fr,1,0,0,,,,,,,,,,,,,185,,21350238800654,,,352876.7,6791691.3,EPSG:2154,Circonscription d'inspection du 1er degré de Rennes Est,48.13320235537098,-1.6688493982745478,"48.13320235537098,-1.6688493982745478",Numéro de rue,1977-05-23,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,,151,ECOLE DE NIVEAU ELEMENTAIRE
0352017C,Ecole,Public,SANS OBJET,Ecole maternelle publique Anne Sylvestre,16 rue de la Mettrie ,,35850 ROMILLE,35850,35245,Romillé,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,1,0,,,,0299232513,,,ecole.0352017C@ac-rennes.fr,1,0,0,,,,,,,,,,,,,136,,21350245300037,,,336973.7,6801660.5,EPSG:2154,Circonscription d'inspection du 1er degré de Saint Grégoire,48.214085304525554,-1.8905069072580645,"48.214085304525554,-1.8905069072580645",Numéro de rue,1978-09-01,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,,101,ECOLE MATERNELLE
0352018D,Ecole,Public,SANS OBJET,Ecole maternelle publique Henri Wallon,1 rue DE HONGRIE ,,35200 RENNES,35200,35238,Rennes,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,1,0,,,,0257213045,,,ecole.0352018D@ac-rennes.fr,1,0,0,,,,,,,,,,,,,102,,21350238800449,,REP+,353466.6,6786865.4,EPSG:2154,Circonscription d'inspection du 1er degré de Rennes Sud,48.09016568915146,-1.6571097822960603,"48.09016568915146,-1.6571097822960603",Numéro de rue,1978-09-01,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,,101,ECOLE MATERNELLE
0352036Y,Ecole,Public,SANS OBJET,Ecole maternelle publique Gérard Philipe,5 rue de Rennes ,,35760 MONTGERMONT,35760,35189,Montgermont,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,1,0,,,,0299688327,,,ecole.0352036Y@ac-rennes.fr,1,0,0,,,,,,,,,,,,,106,,21350189300035,,,349627.7,6794478.7,EPSG:2154,Circonscription d'inspection du 1er degré de Saint Grégoire,48.15650375768394,-1.7146814167019706,"48.15650375768394,-1.7146814167019706",Numéro de rue,1979-09-01,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,,101,ECOLE MATERNELLE
0352056V,Ecole,Public,SANS OBJET,Ecole primaire publique le Chêne Centenaire,2 rue du Chêne Centenaire ,,35410 NOUVOITOU,35410,35204,Nouvoitou,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,1,1,,,,0299374270,,,ecole.0352056V@ac-rennes.fr,1,0,0,,,,,,,,,,,,,270,,21350204000024,,,361562.5,6780868.8,EPSG:2154,Circonscription d'inspection du 1er degré de Cesson-Sévigné,48.04053760539018,-1.5439186154456737,"48.04053760539018,-1.5439186154456737",Numéro de rue,1981-09-01,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,,151,ECOLE DE NIVEAU ELEMENTAIRE
0352094L,Ecole,Public,SANS OBJET,Ecole maternelle publique Léonard de Vinci,Allée des Sports ,,35850 GEVEZE,35850,35120,Gévezé,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,1,0,,,,0299690200,,,ecole.0352094L@ac-rennes.fr,1,0,0,,,,,,,,,,,,,143,,21350120800028,,,344371.4,6801792.0,EPSG:2154,Circonscription d'inspection du 1er degré de Saint Grégoire,48.21934444169154,-1.7912031413493812,"48.21934444169154,-1.7912031413493812",Numéro de rue,1981-09-01,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,,101,ECOLE MATERNELLE
0352096N,Ecole,Public,SANS OBJET,Ecole primaire publique Montaubert,14 rue de la Dussetière ,,35133 LECOUSSE,35133,35150,Lécousse,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,1,1,,,,0299991445,,,ecole.0352096N@ac-rennes.fr,1,0,0,,,,,,,,,,,,,229,,21350150500027,,,388371.2,6815667.1,EPSG:2154,Circonscription d'inspection du 1er degré de Fougères,48.36653205209811,-1.2095710155194137,"48.36653205209811,-1.2095710155194137",Numéro de rue,1981-09-01,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,,151,ECOLE DE NIVEAU ELEMENTAIRE
0352134E,Ecole,Public,SANS OBJET,Ecole élémentaire publique Guy Gérard,1 chemin DE LA METAIRIE ,,35740 PACE,35740,35210,Pacé,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,0,1,,,,0223413045,,,ecole.0352134E@ac-rennes.fr,1,0,0,,,,,,,,,,,,,286,,21350210700047,,,345295.5,6793550.0,EPSG:2154,Circonscription d'inspection du 1er degré de Saint Grégoire,48.145821888916714,-1.7720810671711906,"48.145821888916714,-1.7720810671711906",Numéro de rue,1983-09-01,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,,151,ECOLE DE NIVEAU ELEMENTAIRE
0352137H,Ecole,Public,SANS OBJET,Ecole élémentaire publique Olympe-de-Gouges,52 rue du Temple de Blosne ,,35136 ST JACQUES DE LA LANDE,35136,35281,Saint-Jacques-de-la-Lande,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,0,1,,,,0299312030,,,ecole.0352137H@ac-rennes.fr,1,0,0,,,,,,,,,,,,,164,,21350281800080,,,350504.1,6786981.6,EPSG:2154,Circonscription d'inspection du 1er degré de Saint-Jacques-de-la-Lande,48.0896314191686,-1.6969225578832612,"48.0896314191686,-1.6969225578832612",Numéro de rue,1983-09-01,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,,151,ECOLE DE NIVEAU ELEMENTAIRE
0352139K,Ecole,Public,SANS OBJET,Ecole maternelle publique Jules Ferry,21 rue Emile Bernard ,,35700 RENNES,35700,35238,Rennes,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,1,0,,,,0299383835,,,ecole.0352139K@ac-rennes.fr,1,0,0,,,,,,,,,,,,,105,,21350238801082,,,352992.6,6792271.1,EPSG:2154,Circonscription d'inspection du 1er degré de Rennes Est,48.13847208157031,-1.6677546123049791,"48.13847208157031,-1.6677546123049791",Numéro de rue,1983-09-01,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,,101,ECOLE MATERNELLE
0352140L,Ecole,Public,SANS OBJET,Ecole élémentaire publique Jules Ferry,21 rue Emile Bernard ,,35700 RENNES,35700,35238,Rennes,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,0,1,,,,0299383842,,,ecole.0352140L@ac-rennes.fr,1,0,0,,,,,,,,,,,,,164,,21350238801090,,,353001.4,6792293.0,EPSG:2154,Circonscription d'inspection du 1er degré de Rennes Est,48.138673478126215,-1.6676539084944964,"48.138673478126215,-1.6676539084944964",Numéro de rue,1983-09-01,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,,151,ECOLE DE NIVEAU ELEMENTAIRE
0352150X,Ecole,Public,SANS OBJET,Ecole élémentaire publique Torigné,Chemin de Torigne ,,35200 RENNES,35200,35238,Rennes,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,0,1,,,,0257213087,,,ecole.0352150X@ac-rennes.fr,1,0,0,,,,,,,,,,,,,226,,21350238801074,,REP,353441.3,6786456.8,EPSG:2154,Circonscription d'inspection du 1er degré de Rennes Sud,48.08648183681273,-1.6571255126678524,"48.08648183681273,-1.6571255126678524",Numéro de rue,1983-09-01,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,,151,ECOLE DE NIVEAU ELEMENTAIRE
0352159G,Ecole,Public,SANS OBJET,Ecole maternelle publique les Deux Ruisseaux,Avenue des Méliettes ,,35135 CHANTEPIE,35135,35055,Chantepie,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,1,0,,,,0299414014,,,ecole.0352159G@ac-rennes.fr,1,0,0,,,,,,,,,,,,,107,,21350055600062,,,356324.3,6786098.0,EPSG:2154,Circonscription d'inspection du 1er degré de Rennes Est,48.08478152169814,-1.6181901650354131,"48.08478152169814,-1.6181901650354131",Numéro de rue,1984-09-01,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,,101,ECOLE MATERNELLE
0352187M,Ecole,Public,SANS OBJET,Ecole élémentaire publique Clemenceau,82 boulevard Clemenceau ,,35200 RENNES,35200,35238,Rennes,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,0,1,,,,0257213018,,,ecole.0352187M@ac-rennes.fr,1,0,1,,,,,,,,,,,,,196,,21350238800209,,REP,351572.6,6787384.2,EPSG:2154,Circonscription d'inspection du 1er degré de Rennes Sud,48.093818596131435,-1.6829170405281915,"48.093818596131435,-1.6829170405281915",Numéro de rue,1988-09-01,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,,151,ECOLE DE NIVEAU ELEMENTAIRE
0352199A,Ecole,Public,SANS OBJET,Ecole élémentaire publique Guillevic,4 chemin du Landrel ,,35200 RENNES,35200,35238,Rennes,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,0,1,,,,0257213016,,,ecole.0352199A@ac-rennes.fr,1,0,0,,,,,,,,,,,,,267,,21350238801413,,REP+,353681.2,6786800.6,EPSG:2154,Circonscription d'inspection du 1er degré de Rennes Sud,48.08969738600531,-1.6541811503820676,"48.08969738600531,-1.6541811503820676",Numéro de rue,1986-09-01,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,,151,ECOLE DE NIVEAU ELEMENTAIRE
0352220Y,Ecole,Public,SANS OBJET,Ecole maternelle publique Torigné,Chemin de Torigne ,,35200 RENNES,35200,35238,Rennes,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,1,0,,,,0257213088,,,ecole.0352220Y@ac-rennes.fr,1,0,0,,,,,,,,,,,,,211,,21350238801421,,REP,353438.0,6786435.6,EPSG:2154,Circonscription d'inspection du 1er degré de Rennes Sud,48.0862896476718,-1.6571529728252312,"48.0862896476718,-1.6571529728252312",Numéro de rue,1986-09-11,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,,101,ECOLE MATERNELLE
0352245A,Ecole,Privé,CONTRAT D'ASSOCIATION TOUTES CLASSES,Ecole primaire privée Ste Anne,25 avenue de l'Ardenne ,,35130 RANNEE,35130,35235,Rannée,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,1,1,,,,0299962718,,,ec.0352245A@ac-rennes.fr,1,0,0,,,,,,,,,,,,,83,,77772006100012,,,383376.9,6766693.3,EPSG:2154,Circonscription d'inspection du 1er degré de Châteaubourg,47.92408166190903,-1.2414054105064445,"47.92408166190903,-1.2414054105064445",Numéro de rue,1988-09-01,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,1,,151,ECOLE DE NIVEAU ELEMENTAIRE
0352258P,Ecole,Public,SANS OBJET,Ecole élémentaire publique Volga,3 rue de la Volga ,,35200 RENNES,35200,35238,Rennes,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,0,1,,,,0257213005,,,ecole.0352258P@ac-rennes.fr,1,0,0,,,,,,,,,,,,,166,,21350238801397,,REP+,353814.5,6786297.6,EPSG:2154,Circonscription d'inspection du 1er degré de Rennes Sud,48.085249590651614,-1.6519960864302088,"48.085249590651614,-1.6519960864302088",Numéro de rue,1990-09-01,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,,151,ECOLE DE NIVEAU ELEMENTAIRE
0352306S,Ecole,Public,SANS OBJET,Ecole élémentaire publique l'Auditoire,4 rue Antoine Châtel ,,35131 CHARTRES DE BRETAGNE,35131,35066,Chartres-de-Bretagne,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,0,1,,,,0299412205,,,ecole.0352306S@ac-rennes.fr,1,0,0,,,,,,,,,,,,,310,,21350066300058,,,349849.8,6781620.8,EPSG:2154,Circonscription d'inspection du 1er degré de Chartres-de-Bretagne,48.0411262395006,-1.7014105718201875,"48.0411262395006,-1.7014105718201875",Numéro de rue,1994-06-01,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,,151,ECOLE DE NIVEAU ELEMENTAIRE
0352308U,Ecole,Privé,CONTRAT D'ASSOCIATION TOUTES CLASSES,Ecole primaire privée Marcel Callo,44 rue de Dinan ,,35000 RENNES,35000,35238,Rennes,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,1,1,,,,0299307498,,,ec.0352308U@ac-rennes.fr,1,0,0,,,,,,,,,,,,,198,,77774578700021,,,351725.0,6789950.5,EPSG:2154,Circonscription d'inspection du 1er degré de Rennes Ouest,48.11695211276159,-1.6829167006342582,"48.11695211276159,-1.6829167006342582",Numéro de rue,1991-09-01,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,,151,ECOLE DE NIVEAU ELEMENTAIRE
0352309V,Ecole,Public,SANS OBJET,Ecole maternelle publique Brocéliande,Avenue de Brocéliande ,,35131 CHARTRES DE BRETAGNE,35131,35066,Chartres-de-Bretagne,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,1,0,,,,0299412701,,,ecole.0352309V@ac-rennes.fr,1,0,0,,,,,,,,,,,,,170,,21350066300066,,,349744.8,6781101.7,EPSG:2154,Circonscription d'inspection du 1er degré de Chartres-de-Bretagne,48.03640696665809,-1.7024024773161106,"48.03640696665809,-1.7024024773161106",Numéro de rue,1991-09-01,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,,101,ECOLE MATERNELLE
0352344H,Ecole,Privé,CONTRAT D'ASSOCIATION TOUTES CLASSES,Ecole primaire privée Ste Marie,4 rue Madame de Janzé ,BP 87609,35176 CHARTRES DE BRETAGNE CEDEX,35176,35066,Chartres-de-Bretagne,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,1,1,,,,0299412727,,,ec.0352344H@ac-rennes.fr,1,0,0,,,,,,,,,,,,,277,,77766475600015,,,349602.7,6781823.3,EPSG:2154,Circonscription d'inspection du 1er degré de Chartres-de-Bretagne,48.04281291405668,-1.7048823127296369,"48.04281291405668,-1.7048823127296369",Numéro de rue,1992-09-01,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,,151,ECOLE DE NIVEAU ELEMENTAIRE
0352353T,Ecole,Public,SANS OBJET,Ecole primaire publique le Haut Chemin,36 avenue Paul Sérusier ,,35740 PACE,35740,35210,Pacé,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,1,1,,,,0299602760,,,ecole.0352353T@ac-rennes.fr,1,0,0,,,,,,,,,,,,,261,,21350210700054,,,345029.1,6794284.4,EPSG:2154,Circonscription d'inspection du 1er degré de Saint Grégoire,48.1522732689411,-1.7762533089407586,"48.1522732689411,-1.7762533089407586",Numéro de rue,1993-02-23,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,,151,ECOLE DE NIVEAU ELEMENTAIRE
0352358Y,Ecole,Privé,CONTRAT D'ASSOCIATION TOUTES CLASSES,Ecole primaire privée Ste Jeanne d'Arc,Rue Saint-Georges ,,35690 ACIGNE,35690,35001,Acigné,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,1,1,,,,0299625552,,,ec.0352358Y@ac-rennes.fr,1,0,0,,,,,,,,,,,,,251,,77764837900017,,,362520.1,6790935.0,EPSG:2154,Circonscription d'inspection du 1er degré de Cesson-Sévigné,48.13146493991177,-1.5388500724701712,"48.13146493991177,-1.5388500724701712",Rue,1993-09-01,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,,151,ECOLE DE NIVEAU ELEMENTAIRE
